"latitud","longitud","causa_sini_c_254","dia_semana","hora","fecha","cluster"
"19.4168001","-99.0978513","COLISION Y/O VUELCO","LUNES","15","2018-01-01","1827"
"19.4401753","-99.2055129","COLISION Y/O VUELCO","MARTES","14","2018-01-02","1498"
"19.3271208","-99.068579","COLISION Y/O VUELCO","MIERCOLES","10","2018-01-03","1593"
"19.451869","-99.1644475","COLISION Y/O VUELCO","MIERCOLES","18","2018-01-03","2877"
"19.3059356","-99.2060234","COLISION Y/O VUELCO","MIERCOLES","21","2018-01-03","873"
"19.4415374","-99.1766953","COLISION Y/O VUELCO","JUEVES","07","2018-01-04","2951"
"19.4459669","-99.0874757","COLISION Y/O VUELCO","JUEVES","12","2018-01-04","1796"
"19.3472151","-99.1804883","COLISION Y/O VUELCO","JUEVES","12","2018-01-04","2338"
"19.3182574","-99.075535","COLISION Y/O VUELCO","JUEVES","12","2018-01-04","1541"
"19.1909588","-99.0211573","COLISION Y/O VUELCO","JUEVES","15","2018-01-04","6"
"19.3902368","-99.2031338","COLISION Y/O VUELCO","JUEVES","17","2018-01-04","1232"
"19.3983178","-99.1290068","COLISION Y/O VUELCO","JUEVES","20","2018-01-04","1342"
"19.3205236","-99.1140561","COLISION Y/O VUELCO","LUNES","18","2018-01-08","1266"
"19.3630629","-99.1905266","COLISION Y/O VUELCO","MARTES","07","2018-01-09","3125"
"19.2652498","-99.1715009","COLISION Y/O VUELCO","MARTES","09","2018-01-09","658"
"19.2943013","-99.1028686","COLISION Y/O VUELCO","MARTES","20","2018-01-09","1225"
"19.3589977","-99.2607327","COLISION Y/O VUELCO","MIERCOLES","09","2018-01-10","325"
"19.2976286","-99.1382875","COLISION Y/O VUELCO","MIERCOLES","16","2018-01-10","1942"
"19.2947003","-99.1316899","COLISION Y/O VUELCO","MIERCOLES","16","2018-01-10","1976"
"19.4296079","-99.1739899","COLISION Y/O VUELCO","MIERCOLES","19","2018-01-10","3034"
"19.405033","-99.1398811","COLISION Y/O VUELCO","MIERCOLES","21","2018-01-10","2103"
"19.3574957","-99.152996","COLISION Y/O VUELCO","LUNES","06","2018-01-15","2398"
"19.473134","-99.1452713","COLISION Y/O VUELCO","LUNES","14","2018-01-15","2322"
"19.4730396","-99.1469561","COLISION Y/O VUELCO","LUNES","15","2018-01-15","2322"
"19.4217987","-99.2236885","COLISION Y/O VUELCO","MARTES","08","2018-01-16","515"
"19.3582714","-99.1312142","COLISION Y/O VUELCO","MARTES","14","2018-01-16","1068"
"19.3664095","-99.1681054","COLISION Y/O VUELCO","DOMINGO","12","2018-01-07","2655"
"19.3062855","-99.2105033","COLISION Y/O VUELCO","MARTES","08","2018-01-02","855"
"19.3688368","-99.0949347","COLISION Y/O VUELCO","MARTES","12","2018-01-02","1572"
"19.3066771","-99.2102069","COLISION Y/O VUELCO","MARTES","16","2018-01-02","855"
"19.3016927","-99.1639416","COLISION Y/O VUELCO","MARTES","19","2018-01-02","1931"
"19.3593079","-99.2607757","COLISION Y/O VUELCO","MIERCOLES","09","2018-01-03","325"
"19.3664049","-99.1680264","COLISION Y/O VUELCO","MIERCOLES","20","2018-01-03","2655"
"19.4013797","-99.1598863","COLISION Y/O VUELCO","JUEVES","11","2018-01-04","2914"
"19.3647476","-99.1094204","COLISION Y/O VUELCO","JUEVES","11","2018-01-04","1296"
"19.3932931","-99.2379807","COLISION Y/O VUELCO","JUEVES","18","2018-01-04","471"
"19.2649843","-99.1717215","COLISION Y/O VUELCO","VIERNES","11","2018-01-05","658"
"19.3334964","-99.2094012","COLISION Y/O VUELCO","VIERNES","15","2018-01-19","1094"
"19.459428","-99.1220026","COLISION Y/O VUELCO","VIERNES","15","2018-01-19","2466"
"19.4908053","-99.1732676","COLISION Y/O VUELCO","VIERNES","16","2018-01-19","1902"
"19.4264124","-99.221024","COLISION Y/O VUELCO","VIERNES","17","2018-01-19","515"
"19.4031945","-99.1289521","COLISION Y/O VUELCO","VIERNES","19","2018-01-19","1342"
"19.3992424","-99.1136597","COLISION Y/O VUELCO","VIERNES","21","2018-01-19","1472"
"19.3657832","-99.1958921","COLISION Y/O VUELCO","SABADO","17","2018-01-20","1115"
"19.3049214","-99.0610492","COLISION Y/O VUELCO","DOMINGO","13","2018-01-21","464"
"19.3250239","-99.2140655","COLISION Y/O VUELCO","VIERNES","08","2018-01-05","1094"
"19.3175446","-99.0760344","COLISION Y/O VUELCO","VIERNES","09","2018-01-05","1541"
"19.3317555","-99.2082463","COLISION Y/O VUELCO","VIERNES","13","2018-01-05","1094"
"19.3310854","-99.2112695","COLISION Y/O VUELCO","VIERNES","16","2018-01-05","1094"
"19.3900508","-99.2018733","COLISION Y/O VUELCO","VIERNES","17","2018-01-05","1232"
"19.3840623","-99.0827054","COLISION Y/O VUELCO","VIERNES","17","2018-01-05","1629"
"19.2975022","-99.1854759","COLISION Y/O VUELCO","VIERNES","19","2018-01-05","743"
"19.438802","-99.1678","COLISION Y/O VUELCO","SABADO","18","2018-01-06","3054"
"19.3551609","-99.1679037","COLISION Y/O VUELCO","DOMINGO","12","2018-01-07","2293"
"19.3184151","-99.0756067","COLISION Y/O VUELCO","DOMINGO","23","2018-01-07","1541"
"19.3998488","-99.1849226","COLISION Y/O VUELCO","LUNES","06","2018-01-08","3170"
"19.3336797","-99.1999325","COLISION Y/O VUELCO","LUNES","11","2018-01-08","1109"
"19.3418863","-99.1578196","COLISION Y/O VUELCO","JUEVES","10","2018-01-11","1819"
"19.363242","-99.2824223","COLISION Y/O VUELCO","JUEVES","14","2018-01-11","309"
"19.430278","-99.2060398","COLISION Y/O VUELCO","JUEVES","20","2018-01-11","1574"
"19.347463","-98.9946236","COLISION Y/O VUELCO","VIERNES","20","2018-01-12","552"
"19.515114","-99.1328806","COLISION Y/O VUELCO","VIERNES","20","2018-01-12","414"
"19.4511248","-99.2198307","COLISION Y/O VUELCO","VIERNES","21","2018-01-12","1314"
"19.3644864","-99.1096439","COLISION Y/O VUELCO","VIERNES","21","2018-01-12","1296"
